Id,Title,StaringActorId,ActorAgeGapId,AgeGapDefinition,Genres,NumberOfVotes,Rating,Success
352,Man on the Moon,12583,4,30s,"Biography,Comedy,Drama",114293,7.4,1
353,Shrek,12659,4,30s,"Adventure,Animation,Comedy",541180,7.9,1
354,Rounders,12817,5,20s,"Crime,Drama",132617,7.3,1
355,Rushmore,17439,6,teenager,"Comedy,Drama",153878,7.7,1
356,You've Got Mail,12621,3,40s,"Comedy,Drama,Romance",173185,6.6,0
357,The Iron Giant,513420,6,teenager,"Action,Adventure,Animation",152396,8.0,1
358,There's Something About Mary,12602,5,20s,"Comedy,Romance",269678,7.1,0
359,Lola rennt,18829,5,20s,"Crime,Drama,Thriller",176158,7.7,1
360,The Matrix,12669,4,30s,"Action,Sci-Fi",1450390,8.7,1
361,Planet of the Apes,12705,5,20s,"Action,Adventure,Sci-Fi",198385,5.7,0
362,The Faculty,105847,6,teenager,"Horror,Sci-Fi",101394,6.5,0
363,Scream 3,12737,5,20s,"Horror,Mystery",111663,5.6,0
364,The Talented Mr. Ripley,12817,5,20s,"Crime,Drama,Thriller",157527,7.4,1
365,8MM,12578,4,30s,"Mystery,Thriller",113858,6.5,0
366,Pitch Black,569998,5,20s,"Horror,Sci-Fi",210921,7.1,0
367,Deep Blue Sea,17085,5,20s,"Action,Sci-Fi,Thriller",112938,5.8,0
368,Futurama,879060,3,40s,"Animation,Comedy,Sci-Fi",188293,8.5,1
369,Family Guy,497248,5,20s,"Animation,Comedy",274611,8.2,1
370,"Me, Myself & Irene",12583,4,30s,Comedy,205656,6.6,0
371,Phone Booth,268626,5,20s,"Crime,Thriller",231830,7.1,0
372,A Knight's Tale,17169,5,20s,"Action,Adventure,Romance",153893,6.9,0
373,Shanghai Noon,12792,3,40s,"Action,Adventure,Comedy",109118,6.6,0
374,Band of Brothers,339023,5,20s,"Action,Drama,History",300979,9.5,1
375,The Blair Witch Project,234636,5,20s,"Horror,Mystery",212302,6.4,0
376,Gone in Sixty Seconds,12578,4,30s,"Action,Crime,Thriller",240900,6.5,0
377,The Patriot,12617,3,40s,"Action,Drama,History",231986,7.2,0
378,Blade II,13111,4,30s,"Action,Horror,Sci-Fi",181627,6.7,0
379,Toy Story,12621,4,30s,"Adventure,Animation,Comedy",761036,8.3,1
380,Twelve Monkeys,12709,4,30s,"Mystery,Sci-Fi,Thriller",530283,8.0,1
381,The Usual Suspects,12691,4,30s,"Crime,Mystery,Thriller",877061,8.6,1
382,Waterworld,12589,4,30s,"Action,Adventure,Sci-Fi",162205,6.2,0
383,The Cable Guy,12583,4,30s,"Comedy,Drama,Thriller",137887,6.1,0
384,The English Patient,12609,4,30s,"Drama,Romance,War",161977,7.4,1
385,Fargo,12976,3,40s,"Crime,Drama,Thriller",544004,8.1,1
386,From Dusk Till Dawn,12635,2,50s,"Action,Crime,Horror",252310,7.3,1
387,Happy Gilmore,11795,5,20s,"Comedy,Sport",176238,7.0,0
388,The Hunchback of Notre Dame,12656,4,30s,"Animation,Drama,Family",122520,6.9,0
389,Independence Day,12689,5,20s,"Action,Adventure,Sci-Fi",483765,7.0,0
390,Jerry Maguire,12592,4,30s,"Comedy,Drama,Romance",216898,7.3,1
391,Lost Highway,13060,3,40s,"Mystery,Thriller",115044,7.6,1
392,Mars Attacks!,12660,2,50s,"Comedy,Sci-Fi",192086,6.3,0
393,Matilda,12825,2,50s,"Comedy,Family,Fantasy",106741,6.9,0
394,Mission: Impossible,12592,4,30s,"Action,Adventure,Thriller",349077,7.1,0
395,Primal Fear,12615,3,40s,"Crime,Drama,Mystery",157323,7.7,1
396,Ransom,12617,4,30s,"Action,Crime,Thriller",109020,6.6,0
397,The Rock,12588,1,+60s,"Action,Adventure,Thriller",286977,7.4,1
398,Romeo + Juliet,12601,5,20s,"Drama,Romance",190361,6.8,0
399,Scream,12580,5,20s,"Horror,Mystery",254946,7.2,0
400,Sleepers,12597,2,50s,"Crime,Drama,Thriller",171720,7.6,1
401,Space Jam,20274,4,30s,"Adventure,Animation,Comedy",135917,6.4,0
402,Star Trek: First Contact,12376,2,50s,"Action,Adventure,Drama",108020,7.6,1
403,A Time to Kill,12653,5,20s,"Crime,Drama,Thriller",115946,7.4,1
404,Trainspotting,12654,5,20s,Drama,572941,8.2,1
405,Twister,12629,4,30s,"Action,Adventure,Drama",158926,6.3,0
406,Buffy the Vampire Slayer,11868,6,teenager,"Action,Drama,Fantasy",115271,8.2,1
407,Air Force One,12611,2,50s,"Action,Drama,Thriller",163570,6.5,0
408,Alien: Resurrection,12707,3,40s,"Action,Horror,Sci-Fi",204752,6.2,0
409,Anastasia,12675,4,30s,"Adventure,Animation,Drama",100325,7.1,0
410,Austin Powers: International Man of Mystery,12659,4,30s,"Adventure,Comedy",202044,7.0,0
411,Batman & Robin,12679,3,40s,"Action,Sci-Fi",212887,3.7,0
412,Faa yeung nin wa,489152,4,30s,"Drama,Romance",101083,8.1,1
413,The Big Lebowski,12776,3,40s,"Comedy,Crime",639529,8.1,1
414,Boogie Nights,12705,5,20s,Drama,215045,7.9,1
415,La vita Ã¨ bella,13367,3,40s,"Comedy,Drama,Romance",528794,8.6,1
416,Chasing Amy,12718,5,20s,"Comedy,Drama,Romance",123405,7.3,1
417,Con Air,12578,4,30s,"Action,Crime,Thriller",251292,6.8,0
418,Contact,12612,4,30s,"Drama,Mystery,Sci-Fi",229965,7.4,1
419,Dark City,12326,4,30s,"Mystery,Sci-Fi,Thriller",174201,7.7,1
420,The Devil's Advocate,12669,4,30s,"Drama,Mystery,Thriller",294486,7.5,1
421,Donnie Brasco,12662,2,50s,"Biography,Crime,Drama",250488,7.8,1
422,Event Horizon,12864,4,30s,"Horror,Sci-Fi,Thriller",139577,6.7,0
423,Face/Off,12700,3,40s,"Action,Crime,Sci-Fi",318168,7.3,1
424,Le cinquiÃ¨me Ã©lÃ©ment,12709,3,40s,"Action,Adventure,Sci-Fi",391695,7.7,1
425,The Game,12603,2,50s,"Drama,Mystery,Thriller",305799,7.8,1
426,Gattaca,12623,5,20s,"Drama,Sci-Fi,Thriller",253268,7.8,1
427,Good Will Hunting,12708,3,40s,"Drama,Romance",739385,8.3,1
428,Hercules,16920,4,30s,"Adventure,Animation,Comedy",174824,7.3,1
429,I Know What You Did Last Summer,11953,6,teenager,"Horror,Mystery,Thriller",120014,5.7,0
430,Jackie Brown,12890,3,40s,"Crime,Drama,Thriller",273446,7.5,1
431,L.A. Confidential,12691,4,30s,"Crime,Drama,Mystery",480221,8.3,1
432,Liar Liar,12583,4,30s,"Comedy,Fantasy",252184,6.9,0
433,The Lost World: Jurassic Park,12619,3,40s,"Action,Adventure,Sci-Fi",332155,6.5,0
434,Meet Joe Black,12556,4,30s,"Drama,Fantasy,Romance",190032,7.2,0
435,Men in Black,12632,2,50s,"Adventure,Comedy,Mystery",461632,7.3,1
436,Mononoke-hime,528923,5,20s,"Adventure,Animation,Fantasy",282075,8.4,1
437,My Best Friend's Wedding,12673,5,20s,"Comedy,Drama,Romance",113027,6.3,0
438,As Good as It Gets,12660,2,50s,"Comedy,Drama,Romance",248413,7.7,1
439,Scream 2,12580,5,20s,"Horror,Mystery",141186,6.1,0
440,Seven Years in Tibet,12556,4,30s,"Adventure,Biography,Drama",109659,7.0,0
441,Three Kings,12586,4,30s,"Action,Adventure,Comedy",150335,7.1,0
442,Starship Troopers,13143,5,20s,"Action,Adventure,Sci-Fi",246467,7.2,0
443,Titanic,12601,5,20s,"Drama,Romance",921227,7.8,1
444,Tomorrow Never Dies,12575,3,40s,"Action,Adventure,Thriller",164846,6.5,0
445,Toy Story 2,12621,3,40s,"Adventure,Animation,Comedy",451439,7.9,1
446,The Truman Show,12583,4,30s,"Comedy,Drama,Sci-Fi",807847,8.1,1
447,The Waterboy,11795,4,30s,"Comedy,Sport",134340,6.1,0
448,American History X,12174,5,20s,"Crime,Drama",921497,8.5,1
449,Antz,12558,1,+60s,"Adventure,Animation,Comedy",136492,6.6,0
450,Armageddon,12709,3,40s,"Action,Adventure,Sci-Fi",361247,6.7,0
451,Being John Malkovich,12594,4,30s,"Comedy,Drama,Fantasy",283197,7.8,1
452,Blade,13111,4,30s,"Action,Horror,Sci-Fi",219911,7.1,0
453,The Mummy,12872,4,30s,"Action,Adventure,Fantasy",357866,7.0,0
454,A Bug's Life,12691,4,30s,"Adventure,Animation,Comedy",241245,7.2,0
455,Chicken Run,12617,3,40s,"Adventure,Animation,Comedy",159406,7.0,0
456,City of Angels,12578,4,30s,"Drama,Fantasy,Romance",104920,6.7,0
457,Deep Impact,12843,1,+60s,"Action,Drama,Romance",148354,6.2,0
458,Dogma,12718,5,20s,"Adventure,Comedy,Drama",195438,7.3,1
459,The 13th Warrior,12567,4,30s,"Action,Adventure,History",109132,6.6,0
460,Enemy of the State,12689,5,20s,"Action,Crime,Mystery",209290,7.3,1
461,Eyes Wide Shut,12592,4,30s,"Drama,Mystery,Thriller",264755,7.4,1
462,Fantastic Four,333893,4,30s,"Action,Adventure,Fantasy",291479,5.7,0
463,Fear and Loathing in Las Vegas,12599,4,30s,"Adventure,Comedy,Drama",237442,7.7,1
464,From Hell,12599,4,30s,"Horror,Mystery,Thriller",137111,6.8,0
465,Godzilla,12574,4,30s,"Action,Sci-Fi,Thriller",167069,5.3,0
466,The Green Mile,12621,3,40s,"Crime,Drama,Fantasy",968817,8.5,1
467,"Lock, Stock and Two Smoking Barrels",13609,4,30s,"Comedy,Crime",480512,8.2,1
468,The Lord of the Rings: The Fellowship of the Ring,13167,6,teenager,"Adventure,Drama,Fantasy",1455521,8.8,1
469,The Man in the Iron Mask,12601,5,20s,"Action,Adventure,Drama",142458,6.5,0
470,The Mask of Zorro,12567,4,30s,"Action,Adventure,Comedy",152815,6.7,0
471,Mission: Impossible II,12592,4,30s,"Action,Adventure,Thriller",282301,6.1,0
472,Mulan,12444,4,30s,"Adventure,Animation,Family",212640,7.6,1
473,The Negotiator,12631,3,40s,"Action,Crime,Drama",119652,7.3,1
474,The Parent Trap,493885,6,teenager,"Adventure,Comedy,Drama",104819,6.5,0
475,Payback,12617,3,40s,"Action,Crime,Drama",122621,7.1,0
476,Pleasantville,12101,5,20s,"Comedy,Drama,Fantasy",112647,7.5,1
477,The Prince of Egypt,12637,4,30s,"Adventure,Animation,Drama",105246,7.1,0
478,Resident Evil,12633,5,20s,"Action,Horror,Sci-Fi",226589,6.7,0
479,Rush Hour,12792,3,40s,"Action,Comedy,Crime",213963,7.0,0
480,Saving Private Ryan,12621,3,40s,"Drama,War",1066004,8.6,1
481,Tarzan,11886,4,30s,"Adventure,Animation,Family",174555,7.3,1
482,The Thin Red Line,11633,5,20s,"Drama,War",157157,7.6,1
483,The Wedding Singer,11795,4,30s,"Comedy,Music,Romance",122101,6.8,0
484,Wild Wild West,12689,4,30s,"Action,Comedy,Sci-Fi",142042,4.9,0
485,X-Men,12376,2,50s,"Action,Adventure,Sci-Fi",520521,7.4,1
486,Men in Black II,12632,2,50s,"Action,Adventure,Comedy",302105,6.1,0
487,Star Wars: Episode I - The Phantom Menace,12654,5,20s,"Action,Adventure,Fantasy",633668,6.5,0
488,The Emperor's New Groove,17486,4,30s,"Adventure,Animation,Comedy",154199,7.3,1
489,Corpse Bride,12599,3,40s,"Animation,Drama,Family",218181,7.4,1
490,Star Wars: Episode II - Attack of the Clones,160925,5,20s,"Action,Adventure,Fantasy",555539,6.6,0
491,Star Wars: Episode III - Revenge of the Sith,160925,5,20s,"Action,Adventure,Fantasy",619565,7.6,1
492,South Park,17331,5,20s,"Animation,Comedy",290758,8.7,1
493,Lethal Weapon 4,12617,3,40s,"Action,Crime,Thriller",140847,6.6,0
494,Ronin,12597,2,50s,"Action,Adventure,Crime",158909,7.3,1
495,Analyze This,12597,2,50s,"Comedy,Crime",135592,6.7,0
496,American Pie,16792,5,20s,Comedy,345489,7.0,0
497,The Beach,12601,5,20s,"Adventure,Drama,Romance",202860,6.6,0
498,Hollow Man,12565,3,40s,"Action,Horror,Sci-Fi",112708,5.7,0
499,Stuart Little,12613,4,30s,"Adventure,Comedy,Family",111064,5.9,0
500,That '70s Show,322768,6,teenager,"Comedy,Romance",136011,8.1,1
501,Mulholland Dr.,873249,4,30s,"Drama,Mystery,Thriller",282861,8.0,1
502,Hellboy,13042,2,50s,"Action,Fantasy,Horror",277234,6.9,0
503,The Lord of the Rings: The Return of the King,13167,5,20s,"Action,Adventure,Drama",1438839,8.9,1
504,The Lord of the Rings: The Two Towers,13167,5,20s,"Adventure,Drama,Fantasy",1300755,8.7,1
505,The Sixth Sense,12709,3,40s,"Drama,Mystery,Thriller",820731,8.1,1
506,American Beauty,12691,4,30s,Drama,963165,8.4,1
507,How the Grinch Stole Christmas,12583,4,30s,"Comedy,Family,Fantasy",171673,6.1,0
508,Bad Boys II,12689,4,30s,"Action,Comedy,Crime",201252,6.6,0
509,"Girl, Interrupted",12676,5,20s,"Biography,Drama",143477,7.4,1
510,Gladiator,12591,4,30s,"Action,Adventure,Drama",1168650,8.5,1
511,Scary Movie,272461,5,20s,Comedy,210140,6.2,0
512,Magnolia,12592,4,30s,Drama,265163,8.0,1
513,The Whole Nine Yards,12709,3,40s,"Comedy,Crime",100419,6.7,0
514,Wo hu cang long,12797,3,40s,"Action,Adventure,Fantasy",236043,7.9,1
515,"O Brother, Where Art Thou?",12586,4,30s,"Adventure,Comedy,Crime",256908,7.8,1
516,Freaks and Geeks,16839,5,20s,"Comedy,Drama",114540,8.8,1
517,Erin Brockovich,12673,4,30s,"Biography,Drama",154052,7.3,1
518,Final Destination,12305,5,20s,"Horror,Thriller",205490,6.7,0
519,Zoolander,12378,4,30s,Comedy,226144,6.6,0
520,"Monsters, Inc.",12808,2,50s,"Adventure,Animation,Comedy",712114,8.1,1
521,The Bank Job,17494,3,40s,"Crime,Drama,Romance",163692,7.3,1
522,Moulin Rouge!,12636,4,30s,"Drama,Musical,Romance",247329,7.6,1
523,Office Space,497087,4,30s,Comedy,222079,7.8,1
524,"South Park: Bigger, Longer & Uncut",17331,5,20s,"Animation,Comedy,Fantasy",178641,7.8,1
525,The Virgin Suicides,12842,6,teenager,"Drama,Romance",131494,7.2,0
526,Cold Mountain,12642,4,30s,"Adventure,Drama,History",129745,7.2,0
527,Charlie's Angels,12602,5,20s,"Action,Adventure,Comedy",159796,5.5,0
528,What Lies Beneath,12611,2,50s,"Drama,Fantasy,Horror",108245,6.6,0
529,Cast Away,12621,3,40s,"Adventure,Drama,Romance",458791,7.8,1
530,Ghost World,12577,3,40s,"Comedy,Drama",105333,7.4,1
531,Sleepy Hollow,12599,4,30s,"Fantasy,Horror,Mystery",299586,7.4,1
532,Jurassic Park III,13017,2,50s,"Action,Adventure,Sci-Fi",262567,5.9,0
533,Grey's Anatomy,646105,4,30s,"Drama,Romance",201708,7.6,1
534,Pride & Prejudice,456074,6,teenager,"Drama,Romance",224016,7.8,1
535,Final Destination 3,897735,5,20s,"Horror,Thriller",117145,5.8,0
536,The Fountain,410842,4,30s,"Drama,Sci-Fi",212838,7.3,1
537,Talladega Nights: The Ballad of Ricky Bobby,13604,4,30s,"Comedy,Sport",149103,6.6,0
538,Match Point,420558,5,20s,"Drama,Romance,Thriller",187323,7.6,1
539,300,118025,4,30s,"Action,Fantasy",676945,7.7,1
540,Snakes on a Plane,12631,2,50s,"Action,Adventure,Crime",124190,5.5,0
541,Avatar: The Last Airbender,65008,3,40s,"Action,Adventure,Animation",178580,9.2,1
542,Harry Potter and the Half-Blood Prince,669648,6,teenager,"Adventure,Family,Fantasy",398785,7.6,1
543,Transformers,456895,5,20s,"Action,Adventure,Sci-Fi",559145,7.1,0
544,Flags of Our Fathers,12665,4,30s,"Drama,History,War",109945,7.1,0
545,Jarhead,351402,5,20s,"Biography,Drama,War",159144,7.0,0
546,Stranger Than Fiction,13604,4,30s,"Comedy,Drama,Fantasy",203974,7.6,1
547,The Village,12707,2,50s,"Drama,Mystery,Thriller",220309,6.5,0
548,National Treasure,12578,4,30s,"Action,Adventure,Family",280169,6.9,0
549,Two and a Half Men,11687,4,30s,"Comedy,Romance",222482,7.1,0
550,Collateral,12592,3,40s,"Crime,Drama,Thriller",328596,7.5,1
551,Fun with Dick and Jane,12583,3,40s,"Comedy,Crime",122740,6.1,0
552,Jurassic World,666394,4,30s,"Action,Adventure,Sci-Fi",520437,7.0,0
553,AVP: Alien vs. Predator,17162,4,30s,"Action,Horror,Sci-Fi",168569,5.6,0
554,The Hitchhiker's Guide to the Galaxy,296927,4,30s,"Adventure,Comedy,Sci-Fi",174180,6.8,0
555,Iron Man,12838,3,40s,"Action,Adventure,Sci-Fi",819918,7.9,1
556,The Bourne Supremacy,12817,4,30s,"Action,Mystery,Thriller",398589,7.8,1
557,Team America: World Police,17331,4,30s,"Action,Comedy",148308,7.2,0
558,Batman Begins,12751,4,30s,"Action,Adventure,Thriller",1155363,8.3,1
559,Journey to the Center of the Earth,12872,4,30s,"Action,Adventure,Family",101465,5.8,0
560,Kung fu,160655,3,40s,"Action,Comedy,Crime",113047,7.8,1
561,Kiss Kiss Bang Bang,12838,4,30s,"Action,Comedy,Crime",198655,7.6,1
562,Halloween,179437,6,teenager,"Fantasy,Horror",100398,6.1,0
563,Harry Potter and the Order of the Phoenix,669648,6,teenager,"Adventure,Family,Fantasy",433645,7.5,1
564,Resident Evil: Apocalypse,12633,5,20s,"Action,Horror,Sci-Fi",171734,6.2,0
565,Big Fish,12654,4,30s,"Adventure,Drama,Fantasy",383233,8.0,1
566,The Day After Tomorrow,13061,3,40s,"Action,Adventure,Sci-Fi",375283,6.4,0
567,Elf,13604,4,30s,"Comedy,Family,Fantasy",177430,6.9,0
568,Kingdom of Heaven,95009,5,20s,"Action,Adventure,Drama",245067,7.2,0
569,Underworld,12758,5,20s,"Action,Fantasy,Thriller",234805,7.0,0
570,2 Fast 2 Furious,876019,5,20s,"Action,Crime,Thriller",224086,5.9,0
571,Freaky Friday,12593,3,40s,"Comedy,Family,Fantasy",112114,6.2,0
572,The Texas Chainsaw Massacre,16791,5,20s,Horror,120498,6.2,0
573,Insomnia,12662,1,+60s,"Drama,Mystery,Thriller",248290,7.2,0
574,Smallville,740268,3,40s,"Adventure,Drama,Romance",106579,7.5,1
575,Mr. Deeds,11795,4,30s,"Comedy,Romance",124002,5.8,0
576,A Walk to Remember,576621,6,teenager,"Drama,Romance",184103,7.4,1
577,The Matrix Reloaded,12669,4,30s,"Action,Sci-Fi",467385,7.2,0
578,Blow,12599,4,30s,"Biography,Crime,Drama",219644,7.6,1
579,Pay It Forward,12691,3,40s,Drama,105590,7.2,0
580,The Score,12597,2,50s,"Crime,Drama,Thriller",111294,6.8,0
581,The Others,12636,4,30s,"Horror,Mystery,Thriller",306800,7.6,1
582,The Fast and the Furious,16911,4,30s,"Action,Crime,Thriller",311805,6.8,0
583,Equilibrium,12751,5,20s,"Action,Drama,Sci-Fi",290433,7.5,1
584,Ocean's Eleven,12586,4,30s,"Crime,Thriller",462818,7.8,1
585,Children of Men,12657,3,40s,"Drama,Sci-Fi,Thriller",416163,7.9,1
586,What Women Want,12617,3,40s,"Comedy,Fantasy,Romance",176574,6.4,0
587,Snatch,17494,4,30s,"Comedy,Crime",698646,8.3,1
588,Memento,12206,4,30s,"Mystery,Thriller",1001580,8.5,1
589,The Mummy Returns,12872,4,30s,"Action,Adventure,Fantasy",277380,6.3,0
590,Remember the Titans,12706,3,40s,"Biography,Drama,Sport",180397,7.8,1
591,Le fabuleux destin d'AmÃ©lie Poulain,813527,5,20s,"Comedy,Romance",632935,8.3,1
592,Meet the Parents,12378,4,30s,"Comedy,Romance",287719,7.0,0
593,Miss Congeniality,12576,4,30s,"Action,Comedy,Crime",162716,6.2,0
594,Malcolm in the Middle,17296,6,teenager,"Comedy,Family",106681,8.0,1
595,Artificial Intelligence: AI,17322,6,teenager,"Adventure,Drama,Sci-Fi",269122,7.1,0
596,Hannibal,12627,1,+60s,"Crime,Drama,Thriller",231791,6.8,0
597,Pearl Harbor,12718,5,20s,"Action,Drama,History",287065,6.1,0
598,Road Trip,17263,5,20s,"Adventure,Comedy",145903,6.5,0
599,Enemy at the Gates,12642,5,20s,"Drama,History,War",218366,7.6,1
600,The 6th Day,12679,2,50s,"Action,Mystery,Sci-Fi",108646,5.9,0
601,Gangs of New York,12601,5,20s,"Crime,Drama",361950,7.5,1
602,Unbreakable,12709,3,40s,"Drama,Mystery,Sci-Fi",309249,7.3,1
603,Chocolat,12763,4,30s,"Drama,Romance",165421,7.3,1
604,Harry Potter and the Sorcerer's Stone,669648,6,teenager,"Adventure,Family,Fantasy",546585,7.6,1
605,"Dude, Where's My Car?",17147,5,20s,"Comedy,Mystery,Sci-Fi",126712,5.5,0
606,The Matrix Revolutions,12669,4,30s,"Action,Sci-Fi",405585,6.7,0
607,Bridget Jones's Diary,12713,4,30s,"Comedy,Drama,Romance",200079,6.7,0
608,Swordfish,12700,3,40s,"Action,Crime,Thriller",166815,6.5,0
609,Sen to Chihiro no kamikakushi,160270,6,teenager,"Adventure,Animation,Family",532266,8.6,1
610,Y tu mamÃ¡ tambiÃ©n,854055,4,30s,"Adventure,Comedy,Drama",103420,7.7,1
611,The Count of Monte Cristo,11633,4,30s,"Action,Adventure,Drama",117352,7.8,1
612,Die Another Day,12575,3,40s,"Action,Adventure,Thriller",187503,6.1,0
613,Donnie Darko,351402,5,20s,"Drama,Sci-Fi,Thriller",680893,8.1,1
614,The Princess Diaries,12730,1,+60s,"Comedy,Family,Romance",112365,6.3,0
615,Six Feet Under,452954,4,30s,"Comedy,Drama",107355,8.7,1
616,Catch Me If You Can,12601,5,20s,"Biography,Crime,Drama",685341,8.1,1
617,Black Hawk Down,11930,5,20s,"Drama,History,War",330854,7.7,1
618,The Girl Next Door,359671,6,teenager,"Comedy,Drama,Romance",187066,6.7,0
619,One Hour Photo,12708,2,50s,"Drama,Thriller",106331,6.8,0
620,The Royal Tenenbaums,12895,1,+60s,"Comedy,Drama",239868,7.6,1
621,Batoru rowaiaru,290965,6,teenager,"Adventure,Drama,Sci-Fi",156231,7.7,1
622,Finding Nemo,11587,2,50s,"Adventure,Animation,Comedy",837794,8.1,1
623,Kill Bill: Vol. 1,12698,4,30s,"Action,Crime,Thriller",874137,8.1,1
624,Rush Hour 2,12792,3,40s,"Action,Comedy,Crime",180905,6.6,0
625,Spy Game,13065,1,+60s,"Action,Crime,Thriller",132781,7.1,0
626,Adaptation.,12578,4,30s,"Comedy,Drama",162015,7.7,1
627,Ice Age,12063,3,40s,"Adventure,Animation,Comedy",385269,7.5,1
628,The Time Machine,12206,4,30s,"Action,Adventure,Sci-Fi",111545,5.9,0
629,A Beautiful Mind,12591,4,30s,"Biography,Drama",744574,8.2,1
630,K-PAX,12691,3,40s,"Drama,Sci-Fi",164767,7.4,1
631,Punch-Drunk Love,11795,4,30s,"Comedy,Drama,Romance",128227,7.3,1
632,Johnny English,12563,3,40s,"Action,Adventure,Comedy",130476,6.2,0
633,The Hours,13121,2,50s,"Drama,Romance",114204,7.6,1
634,Lilo & Stitch,160270,6,teenager,"Adventure,Animation,Comedy",143996,7.2,0
635,About a Boy,12887,3,40s,"Comedy,Drama,Romance",157077,7.1,0
636,Dogville,12636,4,30s,"Crime,Drama",122519,8.0,1
637,I Am Sam,13039,3,40s,Drama,133672,7.6,1
638,The Scorpion King,416932,5,20s,"Action,Adventure,Fantasy",119257,5.5,0
639,We Were Soldiers,12617,3,40s,"Action,Drama,History",117997,7.2,0
640,24,13125,4,30s,"Action,Crime,Drama",160971,8.4,1
641,Scrubs,107391,5,20s,"Comedy,Drama",219556,8.4,1
642,Once Upon a Time in Mexico,12567,3,40s,"Action,Thriller",142591,6.4,0
643,Signs,12617,3,40s,"Drama,Mystery,Sci-Fi",306235,6.7,0
644,Hulk,42142,4,30s,"Action,Sci-Fi",234597,5.7,0
645,Daredevil,12718,4,30s,"Action,Adventure,Crime",194146,5.3,0
646,28 Days Later...,595622,5,20s,"Drama,Horror,Sci-Fi",338153,7.6,1
647,Billy Elliot,68375,6,teenager,"Drama,Music,Romance",111254,7.7,1
648,Legally Blonde,13165,5,20s,"Comedy,Romance",157467,6.2,0
649,Rat Race,17263,5,20s,"Adventure,Comedy",100905,6.4,0
650,Evolution,12604,3,40s,"Comedy,Sci-Fi",110853,6.1,0
651,How to Lose a Guy in 10 Days,17065,5,20s,"Comedy,Romance",184632,6.4,0
652,John Q,12706,3,40s,"Crime,Drama,Thriller",112454,7.1,0
653,American Pie 2,16792,5,20s,Comedy,220691,6.4,0
654,The Pianist,16815,5,20s,"Biography,Drama,Music",614507,8.5,1
655,Reign of Fire,12653,4,30s,"Action,Adventure,Fantasy",117491,6.2,0
656,Shallow Hal,99526,4,30s,"Comedy,Drama,Fantasy",119121,5.9,0
657,Road to Perdition,12621,3,40s,"Crime,Drama,Thriller",223979,7.7,1
658,S.W.A.T.,12631,2,50s,"Action,Adventure,Crime",129430,6.0,0
659,Scary Movie 2,272461,5,20s,Comedy,135185,5.3,0
660,About Schmidt,12660,1,+60s,"Comedy,Drama",115734,7.2,0
661,Panic Room,12612,4,30s,"Crime,Drama,Thriller",231624,6.8,0
662,The Bourne Identity,18829,5,20s,"Action,Mystery,Thriller",464706,7.9,1
663,Ghost Rider,12578,3,40s,"Action,Adventure,Fantasy",204647,5.2,0
664,My Big Fat Greek Wedding,850964,4,30s,"Comedy,Drama,Romance",111814,6.6,0
665,Vanilla Sky,12592,4,30s,"Fantasy,Mystery,Romance",229538,6.9,0
666,Jay and Silent Bob Strike Back,566278,5,20s,Comedy,138692,6.9,0
667,Jeepers Creepers,17348,4,30s,"Horror,Mystery",100746,6.2,0
668,Red Dragon,12627,1,+60s,"Crime,Drama,Thriller",226673,7.2,0
669,The Butterfly Effect,17147,5,20s,"Drama,Sci-Fi,Thriller",409874,7.7,1
670,Meet the Fockers,12378,4,30s,"Comedy,Romance",233516,6.3,0
671,X2,12376,1,+60s,"Action,Adventure,Sci-Fi",467167,7.5,1
672,Lara Croft Tomb Raider: The Cradle of Life,12005,5,20s,"Action,Adventure,Fantasy",119008,5.5,0
673,The Last Samurai,12592,3,40s,"Action,Drama,History",360952,7.7,1
674,Matchstick Men,12578,4,30s,"Comedy,Crime,Drama",116235,7.3,1
675,Pirates of the Caribbean: The Curse of the Black Pearl,12599,4,30s,"Action,Adventure,Fantasy",941202,8.0,1
676,Mystic River,13039,3,40s,"Crime,Drama,Mystery",379850,8.0,1
677,Over the Hedge,12709,2,50s,"Adventure,Animation,Comedy",143742,6.7,0
678,Coraline,271810,6,teenager,"Animation,Drama,Fantasy",174193,7.7,1
679,Man on Fire,12706,3,40s,"Action,Crime,Drama",300162,7.7,1
680,American Wedding,16792,5,20s,Comedy,178907,6.3,0
681,Anger Management,12660,1,+60s,Comedy,188003,6.2,0
682,Charlie's Angels: Full Throttle,12569,5,20s,"Action,Adventure,Comedy",110580,4.9,0
683,Scary Movie 3,272461,5,20s,Comedy,125267,5.5,0
684,The Wire,879148,4,30s,"Crime,Drama,Thriller",234544,9.3,1
685,Shark Tale,12689,4,30s,"Adventure,Animation,Comedy",150392,6.0,0
686,25th Hour,12174,4,30s,Drama,160791,7.7,1
687,Bad Santa,13134,3,40s,"Comedy,Crime,Drama",124084,7.1,0
688,Finding Neverland,12599,3,40s,"Biography,Drama,Family",188394,7.7,1
689,Final Destination 2,170044,5,20s,"Horror,Thriller",136585,6.2,0
690,Identity,12594,4,30s,"Mystery,Thriller",204340,7.3,1
691,Master and Commander: The Far Side of the World,12591,4,30s,"Action,Adventure,Drama",186196,7.4,1
692,The League of Extraordinary Gentlemen,12588,1,+60s,"Action,Adventure,Fantasy",154607,5.8,0
693,The Curse of the Were-Rabbit,725810,1,+60s,"Adventure,Animation,Comedy",112279,7.5,1
