StaringActorId,ActorAgeGapId,WriterId,GenreId,Success
12621,2,17161,10,1
2189152,5,64901,10,1
17416,3,308722,10,0
12751,4,106604,15,0
12817,4,24619,15,1
99526,4,15950,15,1
897841,3,288753,15,0
12821,2,1256041,17,1
13061,2,1775181,15,0
65124,4,65124,3,1
12174,4,1327158,1,1
16778,5,12849,15,0
12556,3,234304,17,1
351402,5,850257,14,1
16988,3,1455930,10,1
12599,3,244474,15,1
569998,4,13275,18,0
555338,4,364433,15,1
509899,5,188029,3,0
13167,5,579404,14,1
920522,5,1293433,15,1
12636,4,886453,10,0
12689,4,1534376,3,0
148692,3,208294,3,1
12609,3,125229,1,1
176375,5,244000,3,1
12607,3,1358770,18,1
17597,4,404447,10,0
17494,4,12571,15,0
351402,5,670884,1,1
11930,5,606619,18,0
13095,2,13095,10,0
11795,4,460119,3,0
11868,5,811781,18,0
12631,2,748730,17,1
12795,4,632388,17,1
891238,5,13482,14,1
17598,4,261913,3,0
596293,5,355155,18,0
706991,3,892396,15,1
12693,2,12693,1,0
17494,4,18863,15,0
12378,3,934810,10,0
2200822,6,255571,14,1
12689,4,670836,1,0
17598,3,931143,3,0
12583,3,2134369,14,0
12578,3,734038,15,0
164711,4,1549719,10,0
13084,2,12279,15,1
12693,1,578182,15,0
140095,3,11589,10,1
1621441,5,29983,14,0
688641,4,409789,1,0
99616,5,582023,15,0
707442,3,1235914,1,1
12578,3,877739,15,0
621851,4,902228,15,0
12586,3,24619,14,1
618012,3,208927,15,0
12705,4,2839618,15,0
654240,6,2059867,3,1
12751,4,618724,15,1
12821,3,13222,1,1
2592937,5,285073,1,1
13015,3,188029,15,0
13167,5,931232,15,0
817103,4,12617,15,1
17494,3,880425,15,0
205815,5,548958,3,1
351402,5,911154,15,0
12591,3,2099760,14,0
11586,3,11658,3,0
17351,3,141674,15,0
905689,5,2565656,1,1
12706,2,88263,15,0
12378,3,303243,10,0
12632,1,11658,14,1
802503,5,790420,14,0
12556,3,12980,1,0
691617,5,49380,3,0
12751,4,618724,1,1
17490,4,1251618,18,0
13604,4,1942836,3,0
155592,5,52725,15,1
12578,3,632452,15,0
595622,4,285073,10,1
12689,4,1542786,15,0
12567,2,1312756,15,0
2080072,6,123307,15,0
148692,3,1716282,3,1
12599,3,244474,15,0
12556,3,38787,1,1
12709,2,880425,15,0
12601,4,471877,10,1
369741,5,722783,18,0
12594,3,314355,1,0
12583,3,644870,10,0
2919496,4,365730,15,1
1319072,5,1633800,14,1
12561,4,1449416,3,0
17494,3,44405,15,0
12614,1,12718,14,1
42142,3,710032,1,0
12563,2,12563,3,0
12706,2,1484336,15,0
486977,3,12590,18,0
12706,2,2014538,14,1
4029040,6,1808608,10,1
12689,4,172515,17,1
16826,6,2006830,3,0
669260,4,747473,15,1
569998,4,460829,18,0
527448,5,582391,17,1
12636,3,74911,10,0
12706,2,880425,15,0
1584793,6,815231,1,1
13164,4,563261,3,0
267611,5,1497337,15,0
18720,5,116049,3,0
13083,1,570942,14,0
410842,3,1299250,15,0
223907,5,361113,3,1
1295419,4,597811,3,1
634163,5,3414702,1,1
11456,4,436748,11,0
12071,4,230474,1,1
333893,4,635020,15,0
1394671,5,918059,10,1
456895,5,468108,14,0
13204,2,183589,10,0
1644315,5,504649,3,1
12627,1,13948,14,0
160925,5,318729,15,0
68655,1,1646282,18,0
12005,4,118460,15,0
265906,4,1326219,3,1
12586,3,489731,14,0
341046,5,12558,1,0
876782,3,2187075,1,1
1753222,5,29356,15,0
898888,4,12579,15,1
118025,4,17399,15,1
12586,3,641992,3,1
12602,4,1553743,3,0
118025,4,18863,15,0
187404,4,289820,15,0
12706,2,1863964,15,0
12561,3,828002,15,0
861282,4,60791,18,1
12576,3,1288268,3,0
12378,3,821039,15,0
12005,4,900578,15,0
3486169,5,1299250,15,1
351402,4,1755949,8,1
12667,5,2198011,1,1
12817,4,11942,15,0
2058216,5,850257,15,0
12705,4,751620,8,0
12872,4,324948,15,0
12707,2,47514,22,1
13121,2,421191,3,0
1665481,5,622618,15,1
68452,5,753194,3,0
12174,4,649675,15,0
898888,4,2113319,15,0
1350305,5,960189,15,0
1554048,4,471877,15,0
1648525,6,1517266,3,0
350598,4,2071605,1,1
340945,4,2463989,14,1
324317,4,35413,14,1
715313,4,166564,10,0
268626,4,1848661,3,1
12589,2,267572,14,1
456074,5,550093,1,1
12653,3,1228403,17,1
12592,3,1802564,15,0
17387,4,24249,15,0
324317,5,1444727,3,1
12621,2,447720,8,0
1663698,4,2349588,17,0
782116,3,20428,1,1
55695,4,18761,15,0
351402,5,1114934,3,0
359671,5,13039,10,1
12601,4,1368791,15,0
11795,3,263159,3,0
351402,5,1299250,1,0
12706,2,13406,17,1
873249,4,1328584,14,1
158251,5,318729,15,0
165315,3,293870,1,1
495357,6,815821,10,0
12689,4,1619053,1,1
12816,2,13418,1,0
11795,3,79051,11,0
17598,4,44681,10,0
13604,3,13604,3,0
12718,4,187557,14,1
13368,2,159223,3,0
12197,5,56816,1,1
272461,4,503794,15,0
12838,3,890799,15,1
11553,4,557781,10,1
1628475,5,2079468,11,1
2504289,5,349353,17,1
12591,3,11942,15,0
70506,5,2001359,3,0
4383854,6,2363947,1,1
12653,3,618724,10,1
12556,3,2099760,15,0
12673,3,290649,3,0
17598,4,280697,3,0
94480,4,2373063,15,0
12705,4,483607,15,0
12005,4,780406,17,1
12660,1,912758,10,1
1941837,4,2049734,15,0
155592,6,1818099,3,1
187404,4,337900,15,0
1296363,5,1582256,15,0
17387,4,114541,3,0
571203,4,527517,15,0
12601,4,1427316,1,1
11795,3,11795,3,0
350103,4,141851,1,1
691617,5,691617,15,0
120490,2,18512,10,1
2676423,6,2521634,1,1
13121,2,759572,1,1
20138,4,3076026,15,0
669648,5,715921,10,1
1329717,5,1907430,15,1
13016,2,12571,15,1
3194682,6,751620,15,0
12578,3,444337,15,0
